,id,year,make,model,trim1,trim2,make_model,train_count,valid_count,test_count
0,04bd87f8f379,2014.0,Subaru,Forester,Forester,2.5i,Subaru_Forester,11,1,4
1,0f3e6ca0af86,2014.0,Subaru,Forester,Forester,2.5i Premium,Subaru_Forester,10,4,2
2,4bd70e6e6b4b,2015.0,Subaru,Forester,Forester,2.5i Premium,Subaru_Forester,10,3,3
3,6e9874f85538,2015.0,Subaru,Forester,Forester,2.5i Premium,Subaru_Forester,8,2,6
4,8074c30d1221,2014.0,Subaru,Forester,Forester,2.5i Touring,Subaru_Forester,8,6,2
5,8e008275d042,2014.0,Subaru,Forester,Forester,2.5i,Subaru_Forester,13,2,1
6,96af04be85e5,2015.0,Subaru,Forester,Forester,2.5i Premium,Subaru_Forester,6,4,6
7,aa8e93733e40,2015.0,Subaru,Forester,Forester,2.0XT Touring W/  All Weather Pkg,Subaru_Forester,10,4,2
8,d72df3f16bbe,2014.0,Subaru,Forester,Forester,2.5i Premium All Weather Pkg,Subaru_Forester,12,1,3
9,ddbdc9f92591,2014.0,Subaru,Forester,Forester,2.5i Premium,Subaru_Forester,7,7,2
10,f3586b06a6bc,2016.0,Subaru,Forester,Forester,2.5i Limited,Subaru_Forester,9,2,5
11,f7ce5a508c4f,2013.0,Subaru,Forester,Forester,2.5X,Subaru_Forester,10,3,3
12,0471204b1971,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,7,6,3
13,245f9c9eab8a,2016.0,Mitsubishi,Lancer,Lancer,GT,Mitsubishi_Lancer,12,1,3
14,2cc8ac359692,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,9,3,4
15,40b599bf8021,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,6,7,3
16,6343156803f9,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,9,4,3
17,8ef61b19fc6b,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,9,5,2
18,924205432546,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,9,3,4
19,b2c7a67a809b,2016.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,11,1,4
20,b43ae11c3ed1,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,12,3,1
21,cfcfceb2709f,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,8,4,4
22,e10eb22f3054,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,10,2,4
23,fdbe95520083,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer,11,3,2
24,0493f0ce4a01,2014.0,MINI,Countryman,Countryman,Cooper S w/ Sport Pkg,MINI_Countryman,11,2,3
25,0d1a9caf4350,2016.0,MINI,Countryman,Countryman,Cooper S,MINI_Countryman,11,1,4
26,1e47e1231d8a,2014.0,MINI,Countryman,Countryman,Cooper S ALL4,MINI_Countryman,10,4,2
27,3d33e3e3c89c,2014.0,MINI,Countryman,Countryman,Cooper S ALL4,MINI_Countryman,7,7,2
28,73d82c85175b,2015.0,MINI,Countryman,Countryman,Cooper S ALL4,MINI_Countryman,11,3,2
29,8e78c266b870,2014.0,MINI,Countryman,Countryman,Cooper,MINI_Countryman,8,2,6
30,aafec7d06b29,2014.0,MINI,Countryman,Countryman,Cooper S ALL4,MINI_Countryman,10,2,4
31,d6fe0bb72044,2013.0,MINI,Countryman,Countryman,Cooper S ALL4,MINI_Countryman,11,2,3
32,ed73965e456e,2013.0,MINI,Countryman,Countryman,Cooper,MINI_Countryman,11,2,3
33,f50769787a2d,2013.0,MINI,Countryman,Countryman,Cooper S,MINI_Countryman,11,1,4
34,fefa0531e7b1,2014.0,MINI,Countryman,Countryman,Cooper S ALL4 w/Cold Weather Pkg,MINI_Countryman,11,5,0
35,2204ad7b8a20,2012.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler,12,3,1
36,2bb507a4a97f,2014.0,Jeep,Wrangler,Wrangler,Rubicon,Jeep_Wrangler,7,0,9
37,357b6a09b8d8,2013.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler,6,5,5
38,53e7c620f634,2012.0,Jeep,Wrangler,Wrangler,Sport w/ Towing Pkg,Jeep_Wrangler,4,3,9
39,55c6ac11ecd1,2013.0,Jeep,Wrangler,Wrangler,Rubicon,Jeep_Wrangler,11,4,1
40,66097a7f34e6,2014.0,Jeep,Wrangler,Wrangler,Rubicon X,Jeep_Wrangler,12,1,3
41,a02fd11cc843,2014.0,Jeep,Wrangler,Wrangler,Rubicon,Jeep_Wrangler,8,4,4
42,b8336997408f,2013.0,Jeep,Wrangler,Wrangler,Sport Towing Pkg,Jeep_Wrangler,9,3,4
43,c5c5798222f4,2011.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler,11,3,2
44,fc9399fafb30,2014.0,Jeep,Wrangler,Wrangler,Freedom Edition,Jeep_Wrangler,7,4,5
45,fcf850a61323,2013.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler,12,2,2
46,fcfd7f672e36,2013.0,Jeep,Wrangler,Wrangler,Sahara,Jeep_Wrangler,8,4,4
47,fea835a895cf,2014.0,Jeep,Wrangler,Wrangler,Sport,Jeep_Wrangler,4,6,6
48,015d98226195,2013.0,Toyota,Tacoma,Tacoma,PreRunner,Toyota_Tacoma,10,3,3
49,0231a203dc2b,2016.0,Toyota,Tacoma,Tacoma,SR5 V6,Toyota_Tacoma,6,5,5
50,0bdb8b1cba05,2016.0,Toyota,Tacoma,Tacoma,TRD Sport,Toyota_Tacoma,6,5,5
51,2fb32edf53dd,2011.0,Toyota,Tacoma,Tacoma,Base V6 Towing Pkg,Toyota_Tacoma,8,5,3
52,3915143c71a0,2016.0,Toyota,Tacoma,Tacoma,SR5 V6,Toyota_Tacoma,8,5,3
53,46b8816a9836,2013.0,Toyota,Tacoma,Tacoma,V6 w/TRD Sport Pkg,Toyota_Tacoma,5,7,4
54,537927d3d6a8,2012.0,Toyota,Tacoma,Tacoma,V6,Toyota_Tacoma,6,1,9
55,551d818ec3ce,2015.0,Toyota,Tacoma,Tacoma,V6 w/SR5 Pkg,Toyota_Tacoma,7,6,3
56,58d8c8588ce7,2011.0,Toyota,Tacoma,Tacoma,V6,Toyota_Tacoma,8,8,0
57,92ff1f015411,2012.0,Toyota,Tacoma,Tacoma,PreRunner V6,Toyota_Tacoma,11,0,5
58,94981a2640c2,2014.0,Toyota,Tacoma,Tacoma,V6,Toyota_Tacoma,10,1,5
59,b28165ef63cd,2014.0,Toyota,Tacoma,Tacoma,V6 W/ Towing Pkg,Toyota_Tacoma,6,2,8
60,c3a3cf8591d4,2012.0,Toyota,Tacoma,Tacoma,PreRunner V6,Toyota_Tacoma,9,3,4
61,e4fc9edc5c7b,2010.0,Toyota,Tacoma,Tacoma,Base,Toyota_Tacoma,11,1,4
62,159347bd6cd2,2013.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,10,6,0
63,372419dbc265,2013.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,11,2,3
64,3a2e36d7cd6a,2013.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,6,4,6
65,3df59244b0b8,2013.0,Volkswagen,CC,CC,Sport,Volkswagen_CC,10,5,1
66,4d8fab5bac89,2014.0,Volkswagen,CC,CC,Sport,Volkswagen_CC,7,7,2
67,88d28103cda3,2014.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,8,4,4
68,9add7d064d40,2014.0,Volkswagen,CC,CC,R-Line,Volkswagen_CC,13,1,2
69,b66c26e01b3f,2013.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,10,3,3
70,be0f52dbcf19,2013.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,10,4,2
71,e1e9a6a589cb,2013.0,Volkswagen,CC,CC,Sport PZEV,Volkswagen_CC,13,0,3
72,f7f3c5c3c7aa,2012.0,Volkswagen,CC,CC,Sport,Volkswagen_CC,10,1,5
73,1727aa24a99b,2015.0,Audi,Q5,Q5,2.0T quattro Premium,Audi_Q5,5,4,7
74,65051cfe0789,2014.0,Audi,Q5,Q5,2.0T quattro Premium,Audi_Q5,12,1,3
75,68d293c20e0a,2015.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5,14,0,2
76,89e39c70acf0,2014.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5,12,2,2
77,9a31ec728211,2013.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5,11,2,3
78,9c3ad5995878,2013.0,Audi,Q5,Q5,2.0T quattro Premium,Audi_Q5,11,1,4
79,b2fcaaa4d0d4,2014.0,Audi,Q5,Q5,3.0 quattro TDI Prestige,Audi_Q5,10,3,3
80,c86b4dcd90f5,2014.0,Audi,Q5,Q5,3.0T quattro Prestige,Audi_Q5,8,4,4
81,d0e1e76af411,2012.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5,7,5,4
