,id,year,make,model,trim1,trim2,make_model
135,057717e667f8,2014.0,Audi,A4,A4,2.0T quattro Premium W/ Cold Weather Pkg,Audi_A4
142,05b9facbe852,2012.0,Audi,A4,A4,2.0T Premium,Audi_A4
288,0c73bef70ead,2013.0,Audi,Allroad,Allroad,2.0T quattro Premium,Audi_Allroad
299,0cdf5b5d0ce1,2014.0,Audi,A4,A4,2.0T quattro Premium Plus,Audi_A4
485,147eae56c94a,2014.0,Audi,Q7,Q7,3.0T quattro Premium,Audi_Q7
549,1727aa24a99b,2015.0,Audi,Q5,Q5,2.0T quattro Premium,Audi_Q5
560,17a1f1ab0ac3,2014.0,Audi,A5,A5,2.0T quattro Premium,Audi_A5
658,1c1a505c4e49,2014.0,Audi,A5,A5,2.0T quattro Premium Plus,Audi_A5
1045,29dcd633a24c,2013.0,Audi,Q7,Q7,3.0T quattro Premium Plus W/  Technology Pkg,Audi_Q7
1104,2be77fac38d9,2013.0,Audi,Q7,Q7,3.0T quattro S line Prestige,Audi_Q7
1259,30e0fda8deeb,2015.0,Audi,A3,A3,2.0T quattro Premium,Audi_A3
1377,360383414441,2014.0,Audi,A6,A6,3.0T quattro Prestige,Audi_A6
1389,364fd5fd7569,2014.0,Audi,A8 L,A8 L,3.0T quattro,Audi_A8 L
1421,37760a1b4706,2013.0,Audi,S5,S5,3.0T quattro Premium Plus,Audi_S5
1548,3bca821c8c41,2011.0,Audi,A4,A4,2.0T Premium,Audi_A4
1561,3c6acfceb552,2012.0,Audi,TT RS,TT RS,2.5 quattro w/ Technology Pkg,Audi_TT RS
1621,3edf4f51b428,2013.0,Audi,A5,A5,2.0T quattro Premium Plus,Audi_A5
1646,3f92ab280ae6,2009.0,Audi,TTS,TTS,2.0T quattro,Audi_TTS
1682,41680fdf745c,2014.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
1706,42415ff65013,2015.0,Audi,A7,A7,3.0T quattro Premium Plus,Audi_A7
1734,430f0cb5666c,2016.0,Audi,TT,TT,2.0T quattro,Audi_TT
1758,4416c77aa458,2014.0,Audi,A5,A5,2.0T quattro Premium Plus,Audi_A5
1896,497ae7a50e01,2013.0,Audi,A4,A4,2.0T quattro Premium,Audi_A4
1919,4a7726cf0fbf,2013.0,Audi,A4,A4,2.0T quattro Premium Plus,Audi_A4
2012,4db5972142a4,2014.0,Audi,A4,A4,2.0T quattro Premium,Audi_A4
2021,4df00c060343,2012.0,Audi,S4,S4,3.0T quattro Premium Plus,Audi_S4
2022,4df1536de792,2016.0,Audi,TT,TT,2.0T quattro,Audi_TT
2086,4fc2470c0f7b,2010.0,Audi,Q7,Q7,3.0 quattro TDI Premium Plus,Audi_Q7
2136,51f1cdf5f539,2014.0,Audi,SQ5,SQ5,3.0T quattro Premium Plus,Audi_SQ5
2261,57b35b985be8,2014.0,Audi,A4,A4,2.0T quattro Premium Plus,Audi_A4
2262,57c69d33d63c,2013.0,Audi,A6,A6,2.0T quattro Premium,Audi_A6
2423,5ee6ce7e5db6,2015.0,Audi,A3,A3,2.0T quattro Premium Plus,Audi_A3
2572,65051cfe0789,2014.0,Audi,Q5,Q5,2.0T quattro Premium,Audi_Q5
2673,68d293c20e0a,2015.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5
2718,6a548b4d774e,2015.0,Audi,A5,A5,2.0T quattro Premium Plus,Audi_A5
2785,6c89baaca1c0,2011.0,Audi,A4,A4,2.0T quattro Premium Plus Pkg,Audi_A4
2870,6fbd22ce7275,2015.0,Audi,A3,A3,2.0T quattro Premium,Audi_A3
2977,73b8b395dd5e,2013.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
3030,7571a91def5a,2012.0,Audi,A6,A6,3.0T quattro Premium,Audi_A6
3035,75bc924cc8c1,2014.0,Audi,A5,A5,2.0T quattro Premium Plus,Audi_A5
3052,766d06abbb29,2015.0,Audi,A3,A3,2.0T quattro Prestige Sport Pkg,Audi_A3
3146,79a7691a90b1,2012.0,Audi,TTS,TTS,2.0T quattro Prestige,Audi_TTS
3187,7b7f73927b20,2013.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
3223,7cb4454776b7,2015.0,Audi,A3,A3,2.0T quattro Premium Plus,Audi_A3
3293,7fbc761387f3,2009.0,Audi,S5,S5,quattro,Audi_S5
3303,8038ea9c1d05,2014.0,Audi,A6,A6,2.0T quattro Premium Plus,Audi_A6
3549,89e39c70acf0,2014.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5
3943,9a31ec728211,2013.0,Audi,Q5,Q5,2.0T quattro Premium Plus,Audi_Q5
3972,9b65a6115460,2014.0,Audi,A4,A4,2.0T quattro Premium w/ S Line Style Pkg,Audi_A4
3998,9c2e82c23803,2013.0,Audi,RS 5,RS 5,quattro,Audi_RS 5
4001,9c3ad5995878,2013.0,Audi,Q5,Q5,2.0T quattro Premium,Audi_Q5
4019,9cf3f49736c6,2013.0,Audi,A8,A8,4.0T quattro LWB,Audi_A8
4044,9dfaeb835626,2016.0,Audi,A3,A3,2.0T quattro Premium Plus,Audi_A3
4056,9e4f980c76bc,2013.0,Audi,Q7,Q7,3.0T quattro Premium Plus,Audi_Q7
4186,a3e2e104d58a,2013.0,Audi,A6,A6,2.0T quattro Premium,Audi_A6
4349,a9be11759f9a,2013.0,Audi,A4,A4,2.0T quattro W/ Premium Plus Pkg,Audi_A4
4391,ab38d376843a,2015.0,Audi,A3,A3,2.0T quattro Premium Plus,Audi_A3
4418,ac17fa7cb0a7,2016.0,Audi,A3,A3,2.0T quattro Premium,Audi_A3
4485,adde7e9bebb9,2015.0,Audi,A3,A3,2.0T quattro Premium Plus,Audi_A3
4532,af7dc4b946fc,2014.0,Audi,S4,S4,3.0T quattro Premium Plus,Audi_S4
4628,b2fcaaa4d0d4,2014.0,Audi,Q5,Q5,3.0 quattro TDI Prestige,Audi_Q5
4690,b552f3701ab7,2016.0,Audi,A3 Sportback e-tron,A3 Sportback e-tron,1.4T Premium,Audi_A3 Sportback e-tron
4727,b703cd178144,2014.0,Audi,A6,A6,3.0T quattro Premium Plus,Audi_A6
4834,bb618dc15291,2014.0,Audi,A4,A4,2.0T quattro Premium,Audi_A4
4849,bbde883e6b28,2015.0,Audi,A4,A4,2.0T quattro Premium,Audi_A4
4896,bdb4ec3c77ca,2015.0,Audi,A4,A4,2.0T Premium,Audi_A4
4926,bed92bbddc5d,2015.0,Audi,A4,A4,2.0T quattro Premium,Audi_A4
5014,c271c8ca2ef5,2013.0,Audi,Q7,Q7,3.0T quattro Premium Plus,Audi_Q7
5106,c53e374fdd72,2015.0,Audi,A3,A3,2.0T quattro Premium,Audi_A3
5189,c86b4dcd90f5,2014.0,Audi,Q5,Q5,3.0T quattro Prestige,Audi_Q5
